"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1785783117527269626","Thu May 02 02:40:52 +0000 2024","2","@RagilSemar Perusahaan yg memiliki valuasi hampir 45rb T membatalkan investasi yg bernilai hanya 1 6T. Uang 1 6T bagi apple itu seperti koin cepek jatuh di jalan tapi msh dibatalkan. Kira2 sy tau pertimbangan apple itu apa tapi ah sdhlah pokoknya Indonesia emas 2450 ","1785861989451084279","","RagilSemar","in","","0","1","0","https://twitter.com/Amosrichfamous/status/1785861989451084279","1447731593636827136","Amosrichfamous"
"1785852048845738339","Thu May 02 02:06:47 +0000 2024","5","@Nagashima_007 @DedynurPalakka @Siantar72 @feroferraferri @007_atacante @Dargomb33306384 @PuteraKonoha @EviDrajat @Bara_Rc @Berty69968038 @_Marlboro1 @AliminHerman Apple lebih tertarik investasi di Vietnam dengan total investasi Rp 256 triliun. Indonesia hanya kebagian Rp 1 6 triliun saja","1785853410543317179","","Nagashima_007","in","","0","3","0","https://twitter.com/_riverheaven/status/1785853410543317179","975389335775199232","_riverheaven"
"1785851289810645327","Thu May 02 01:58:21 +0000 2024","0","VIRAL Apple Batalkan Investasi Sebesar Rp 1 6 Triliun di Indonesia Bahlil: Belum Ada Realisasi https://t.co/dsIhlFjBla https://t.co/dsIhlFjBla","1785851289810645327","","","in","indonesia","0","0","0","https://twitter.com/posaktualcom/status/1785851289810645327","1636627729675337734","posaktualcom"
"1785809949869961419","Thu May 02 01:40:17 +0000 2024","4","@T0M5helby Sudah nilainya paling kecil eh batal pulak padahal konsumen Apple di Indonesia lumayan tinggi orang rela ambil kredit untuk bisa gengsi pake iPhone.. Apa aja kerja pemerintah kita di bidang investasi apq sibuk haw haw di media aja..","1785846741679657421","","T0M5helby","in","Nangro Aceh Darussalam","0","0","0","https://twitter.com/TcutRicky/status/1785846741679657421","1762101782090821632","TcutRicky"
"1785809949869961419","Thu May 02 01:35:03 +0000 2024","5","@T0M5helby Perusahaan yg memiliki valuasi hampir 45rb T membatalkan investasi yg bernilai hanya 1 6T. Uang 1 6T bagi apple itu seperti koin cepek jatuh di jalan tapi msh dibatalkan. Kira2 sy tau pertimbangan apple itu apa tapi ah sdhlah pokoknya Indonesia emas 2450 ","1785845424051667229","","T0M5helby","in","","0","0","0","https://twitter.com/Amosrichfamous/status/1785845424051667229","1447731593636827136","Amosrichfamous"
"1785843578155192373","Thu May 02 01:27:43 +0000 2024","4","Apple gak jadi investasi 1.6 T di Indonesia? Ya gak ngaca sih Pemerintah. Menterinya saja ada yang bilang kalau urusan tambang itu bisa dikelola ormas. Belum kalau misalnya mau datangkan mesin produksi bisa kena cukai tinggi. Buat apa investasi di Indonesia kalau begitu?","1785843578155192373","","","in","Indonesia","0","1","0","https://twitter.com/DedyTriRiyadi1/status/1785843578155192373","1390878391746715650","DedyTriRiyadi1"
"1785783117527269626","Thu May 02 01:21:02 +0000 2024","1","@RagilSemar Nggak apa-apa Apple nggak investasi di Indonesia Indonesia hanya butuh China bahkan pemerintah Indonesia sudah menyediakan satu juta hektar lahan pertanian untuk China.","1785841899699630235","","RagilSemar","in","","0","0","0","https://twitter.com/Razieq97/status/1785841899699630235","1434704169588256773","Razieq97"
"1785628214276280628","Wed May 01 12:10:55 +0000 2024","4","@Heraloebss SBAIKNYA APPLE MEMANG JGN INVESTASI DI INDONESIA &amp; BUKAN HNYA APPLE TP JUGA LAINNYA KRN DI INDONESIA INI BNYK GARONG BNYK BEGAL BNYK PEROMPAK &amp; MRK PAKE SERAGAM ADA YG DARI KEMENTERIAN ADA YG DARI APARAT PENEGAK HUKUM DLSB SBAIKNYA INVESTASI KE NGR LAIN SJ YG LBH AMAN &amp; BERSIH","1785643057217675641","","Heraloebss","in","","0","0","0","https://twitter.com/Sanjaya01158098/status/1785643057217675641","1241350830223052801","Sanjaya01158098"
"1785599105286476023","Wed May 01 11:59:26 +0000 2024","1","@getjzebulon24 @ibnux Alasan Apple karena masalah tambang ilegal belum kelar. Begitupun banyak perusahaan barat kurang mau investasi di Indonesia karena hal ini.","1785640167388357071","","getjzebulon24","in","","0","1","0","https://twitter.com/aspadani/status/1785640167388357071","1440317403615809552","aspadani"
"1785634737744486505","Wed May 01 11:37:51 +0000 2024","0","Gak jadi Apple investasi di Indonesia. Well.","1785634737744486505","","","in","Bandung","0","0","0","https://twitter.com/bayudfr/status/1785634737744486505","36573386","bayudfr"
